"GEO";"GEO_OBJECT";"TPH_FISCAL";"FILOSOFI_MEASURE";"UNIT_MEASURE";"UNIT_MULT";"CONF_STATUS";"OBS_STATUS";TIME_PERIOD;OBS_VALUE
"13211";"ARM";"221_FILOSOFI";"MED_SL";"EUR_YR";"0";"F";"A";2021;25910
"13211";"ARM";"111";"MED_SL";"EUR_YR";"0";"F";"A";2021;19200
"13211";"ARM";"21";"MED_SL";"EUR_YR";"0";"F";"A";2021;16850
"13212";"ARM";"110";"MED_SL";"EUR_YR";"0";"F";"A";2021;23250
"13212";"ARM";"221_FILOSOFI";"MED_SL";"EUR_YR";"0";"F";"A";2021;29550
"13212";"ARM";"3";"MED_SL";"EUR_YR";"0";"F";"A";2021;26050
"13211";"ARM";"110";"MED_SL";"EUR_YR";"0";"F";"A";2021;20630
"13211";"ARM";"222_FILOSOFI";"MED_SL";"EUR_YR";"0";"F";"A";2021;24070
"13212";"ARM";"111";"MED_SL";"EUR_YR";"0";"F";"A";2021;21970
"13212";"ARM";"21";"MED_SL";"EUR_YR";"0";"F";"A";2021;19460
"13212";"ARM";"_T";"MED_SL";"EUR_YR";"0";"F";"A";2021;25680
"13212";"ARM";"222_FILOSOFI";"MED_SL";"EUR_YR";"0";"F";"A";2021;27570
"13211";"ARM";"_T";"MED_SL";"EUR_YR";"0";"F";"A";2021;22400
"13211";"ARM";"3";"MED_SL";"EUR_YR";"0";"F";"A";2021;22310
