"GEO";"GEO_OBJECT";"SEX";"AGE";"RP_MEASURE";TIME_PERIOD;OBS_VALUE
"13211";"ARM";"M";"_T";"POP";2011;27162.309584
"13211";"ARM";"M";"Y_GE65";"POP";2011;3537.654997
"13211";"ARM";"_T";"Y25T39";"POP";2011;9397.40602
"13212";"ARM";"M";"Y_LT15";"POP";2011;5089.630226
"13212";"ARM";"F";"Y55T64";"POP";2011;4356.991952
"13211";"ARM";"_T";"Y40T54";"POP";2011;13251.817586
"13212";"ARM";"F";"Y_LT15";"POP";2011;4735.01756
"13212";"ARM";"F";"Y65T79";"POP";2011;4853.970614
"13212";"ARM";"F";"Y40T54";"POP";2011;6685.383947
"13212";"ARM";"F";"Y_LT20";"POP";2011;6372.565268
"13212";"ARM";"_T";"Y20T64";"POP";2011;33424.692503
"13212";"ARM";"M";"Y55T64";"POP";2011;3477.906643
"13211";"ARM";"_T";"Y65T79";"POP";2011;5928.952991
"13211";"ARM";"M";"Y25T39";"POP";2011;4322.64949
"13211";"ARM";"M";"Y55T64";"POP";2011;3499.374345
"13212";"ARM";"M";"Y65T79";"POP";2011;3595.028629
"13211";"ARM";"F";"Y20T64";"POP";2011;17429.177455
"13211";"ARM";"_T";"Y_LT20";"POP";2011;14873.879581
"13211";"ARM";"M";"Y_LT20";"POP";2011;7657.324827
"13212";"ARM";"M";"Y40T54";"POP";2011;5927.447263
"13212";"ARM";"M";"Y15T24";"POP";2011;3265.172332
"13211";"ARM";"_T";"Y_GE80";"POP";2011;2579.660212
"13212";"ARM";"F";"Y15T24";"POP";2011;3084.314721
"13211";"ARM";"M";"Y65T79";"POP";2011;2599.798486
"13212";"ARM";"_T";"Y15T24";"POP";2011;6349.487054
"13212";"ARM";"F";"Y_GE80";"POP";2011;3266.502537
"13211";"ARM";"_T";"Y15T24";"POP";2011;7724.398422
"13211";"ARM";"F";"Y_LT20";"POP";2011;7216.554755
"13212";"ARM";"M";"Y_LT20";"POP";2011;6830.298035
"13212";"ARM";"_T";"Y55T64";"POP";2011;7834.898595
"13212";"ARM";"_T";"Y_GE65";"POP";2011;13187.444194
"13212";"ARM";"F";"Y25T39";"POP";2011;5361.440065
"13212";"ARM";"F";"_T";"POP";2011;32343.621397
"13211";"ARM";"F";"_T";"POP";2011;29616.690416
"13212";"ARM";"_T";"Y_LT15";"POP";2011;9824.647786
"13212";"ARM";"F";"Y20T64";"POP";2011;17850.582977
"13211";"ARM";"M";"Y20T64";"POP";2011;15967.32976
"13211";"ARM";"F";"Y_LT15";"POP";2011;5213.649226
"13212";"ARM";"M";"Y20T64";"POP";2011;15574.109526
"13211";"ARM";"M";"Y_GE80";"POP";2011;937.856511
"13212";"ARM";"F";"Y_GE65";"POP";2011;8120.473151
"13211";"ARM";"_T";"Y20T64";"POP";2011;33396.507215
"13211";"ARM";"F";"Y_GE65";"POP";2011;4970.958207
"13211";"ARM";"_T";"_T";"POP";2011;56779
"13211";"ARM";"F";"Y55T64";"POP";2011;3700.91401
"13212";"ARM";"_T";"Y_GE80";"POP";2011;4738.44495
"13212";"ARM";"_T";"Y_LT20";"POP";2011;13202.863303
"13212";"ARM";"_T";"Y40T54";"POP";2011;12612.831211
"13211";"ARM";"F";"Y40T54";"POP";2011;6939.965174
"13212";"ARM";"_T";"Y25T39";"POP";2011;10005.691161
"13212";"ARM";"M";"Y_GE65";"POP";2011;5066.971043
"13211";"ARM";"M";"Y15T24";"POP";2011;4007.951151
"13211";"ARM";"M";"Y_LT15";"POP";2011;5482.827188
"13211";"ARM";"F";"Y15T24";"POP";2011;3716.44727
"13211";"ARM";"_T";"Y_GE65";"POP";2011;8508.613204
"13211";"ARM";"F";"Y65T79";"POP";2011;3329.154506
"13212";"ARM";"M";"_T";"POP";2011;27471.378603
"13212";"ARM";"_T";"_T";"POP";2011;59815
"13212";"ARM";"M";"Y_GE80";"POP";2011;1471.942413
"13212";"ARM";"M";"Y25T39";"POP";2011;4644.251096
"13211";"ARM";"M";"Y40T54";"POP";2011;6311.852413
"13211";"ARM";"F";"Y25T39";"POP";2011;5074.75653
"13211";"ARM";"_T";"Y55T64";"POP";2011;7200.288355
"13211";"ARM";"F";"Y_GE80";"POP";2011;1641.803701
"13211";"ARM";"_T";"Y_LT15";"POP";2011;10696.476414
"13212";"ARM";"_T";"Y65T79";"POP";2011;8448.999243
"13211";"ARM";"F";"Y_GE65";"POP";2016;5747.834615
"13212";"ARM";"M";"Y20T64";"POP";2016;15338.903367
"13212";"ARM";"M";"_T";"POP";2016;27997.766515
"13212";"ARM";"M";"Y15T24";"POP";2016;3168.923046
"13212";"ARM";"M";"Y_LT15";"POP";2016;5089.752752
"13211";"ARM";"F";"Y_LT20";"POP";2016;7235.591627
"13212";"ARM";"F";"Y65T79";"POP";2016;5236.039549
"13211";"ARM";"M";"Y40T54";"POP";2016;5780.427774
"13212";"ARM";"F";"Y55T64";"POP";2016;4179.26168
"13211";"ARM";"_T";"Y55T64";"POP";2016;7794.137014
"13211";"ARM";"M";"Y_LT20";"POP";2016;7596.825394
"13212";"ARM";"_T";"_T";"POP";2016;60799
"13211";"ARM";"F";"Y25T39";"POP";2016;4874.85148
"13211";"ARM";"F";"Y55T64";"POP";2016;4144.917599
"13212";"ARM";"M";"Y65T79";"POP";2016;4001.145787
"13212";"ARM";"F";"Y_LT20";"POP";2016;6409.57637
"13211";"ARM";"M";"_T";"POP";2016;27491.031376
"13211";"ARM";"_T";"Y40T54";"POP";2016;12486.705228
"13211";"ARM";"_T";"Y_LT15";"POP";2016;10891.170687
"13211";"ARM";"F";"Y15T24";"POP";2016;3494.368867
"13211";"ARM";"F";"Y20T64";"POP";2016;17282.542383
"13212";"ARM";"M";"Y40T54";"POP";2016;5574.12015
"13212";"ARM";"M";"Y_GE80";"POP";2016;1813.765855
"13212";"ARM";"_T";"Y55T64";"POP";2016;7684.394718
"13212";"ARM";"F";"Y25T39";"POP";2016;5398.524855
"13211";"ARM";"_T";"Y15T24";"POP";2016;7161.262569
"13212";"ARM";"M";"Y_LT20";"POP";2016;6843.951507
"13212";"ARM";"_T";"Y_GE80";"POP";2016;5445.396437
"13212";"ARM";"F";"Y15T24";"POP";2016;3120.627997
"13211";"ARM";"M";"Y65T79";"POP";2016;3292.611723
"13211";"ARM";"M";"Y_LT15";"POP";2016;5593.452078
