Année de construction,Nombre de logements,Arrondissement,COG,Code_postal
1790,1,Marseille 12,13212,13012
1840,1,Marseille 12,13212,13012
1850,1,Marseille 12,13212,13012
1860,1,Marseille 12,13212,13012
1865,1,Marseille 12,13212,13012
1866,1,Marseille 12,13212,13012
1870,1,Marseille 12,13212,13012
1890,1,Marseille 12,13212,13012
1900,15,Marseille 12,13212,13012
1901,2,Marseille 12,13212,13012
1903,1,Marseille 12,13212,13012
1910,1,Marseille 12,13212,13012
1919,1,Marseille 12,13212,13012
1920,12,Marseille 12,13212,13012
1921,2,Marseille 12,13212,13012
1922,1,Marseille 12,13212,13012
1923,4,Marseille 12,13212,13012
1924,1,Marseille 12,13212,13012
1925,1,Marseille 12,13212,13012
1926,1,Marseille 12,13212,13012
1927,1,Marseille 12,13212,13012
1928,1,Marseille 12,13212,13012
1930,3,Marseille 12,13212,13012
1932,1,Marseille 12,13212,13012
1935,1,Marseille 12,13212,13012
1936,1,Marseille 12,13212,13012
1939,4,Marseille 12,13212,13012
1940,4,Marseille 12,13212,13012
1941,1,Marseille 12,13212,13012
1945,3,Marseille 12,13212,13012
1947,204,Marseille 12,13212,13012
1948,334,Marseille 12,13212,13012
1949,39,Marseille 12,13212,13012
1950,17,Marseille 12,13212,13012
1950,1,Marseille 12,13012,13012
1952,5,Marseille 12,13212,13012
1953,8,Marseille 12,13212,13012
1954,2,Marseille 12,13212,13012
1955,16,Marseille 12,13212,13012
1956,8,Marseille 12,13212,13012
1957,16,Marseille 12,13212,13012
1958,11,Marseille 12,13212,13012
1959,34,Marseille 12,13212,13012
1960,55,Marseille 12,13212,13012
1961,11,Marseille 12,13212,13012
1962,25,Marseille 12,13212,13012
1963,15,Marseille 12,13212,13012
1964,23,Marseille 12,13212,13012
1965,18,Marseille 12,13212,13012
1966,9,Marseille 12,13212,13012
1967,9,Marseille 12,13212,13012
1968,11,Marseille 12,13212,13012
1969,12,Marseille 12,13212,13012
1970,60,Marseille 12,13212,13012
1971,11,Marseille 12,13212,13012
1972,38,Marseille 12,13212,13012
1973,24,Marseille 12,13212,13012
1974,19,Marseille 12,13212,13012
1975,38,Marseille 12,13212,13012
1976,14,Marseille 12,13212,13012
1977,8,Marseille 12,13212,13012
1978,27,Marseille 12,13212,13012
1979,12,Marseille 12,13212,13012
1980,25,Marseille 12,13212,13012
1981,7,Marseille 12,13212,13012
1982,8,Marseille 12,13212,13012
1983,19,Marseille 12,13212,13012
1984,3,Marseille 12,13212,13012
1985,12,Marseille 12,13212,13012
1986,3,Marseille 12,13212,13012
1987,6,Marseille 12,13212,13012
1988,5,Marseille 12,13212,13012
1989,37,Marseille 12,13212,13012
1990,9,Marseille 12,13212,13012
1991,4,Marseille 12,13212,13012
1992,17,Marseille 12,13212,13012
1994,1,Marseille 12,13212,13012
1995,9,Marseille 12,13212,13012
1996,13,Marseille 12,13212,13012
1997,17,Marseille 12,13212,13012
1998,6,Marseille 12,13212,13012
1999,11,Marseille 12,13212,13012
2000,22,Marseille 12,13212,13012
2001,22,Marseille 12,13212,13012
2002,6,Marseille 12,13212,13012
2003,9,Marseille 12,13212,13012
2004,5,Marseille 12,13212,13012
2005,26,Marseille 12,13212,13012
2006,68,Marseille 12,13212,13012
2007,20,Marseille 12,13212,13012
2008,15,Marseille 12,13212,13012
2009,11,Marseille 12,13212,13012
2010,21,Marseille 12,13212,13012
2011,22,Marseille 12,13212,13012
2012,51,Marseille 12,13212,13012
2013,79,Marseille 12,13212,13012
2014,19,Marseille 12,13212,13012
2015,19,Marseille 12,13212,13012
2016,13,Marseille 12,13212,13012
2017,27,Marseille 12,13212,13012
2018,21,Marseille 12,13212,13012
2019,19,Marseille 12,13212,13012
2020,18,Marseille 12,13212,13012
2021,15,Marseille 12,13212,13012
2022,2,Marseille 12,13212,13012
2023,4,Marseille 12,13212,13012
2024,2,Marseille 12,13212,13012
1800,1,Marseille 11,13211,13011
1820,2,Marseille 11,13211,13011
1850,1,Marseille 11,13211,13011
1870,1,Marseille 11,13211,13011
1880,2,Marseille 11,13211,13011
1890,2,Marseille 11,13211,13011
1900,8,Marseille 11,13211,13011
1901,1,Marseille 11,13211,13011
1910,1,Marseille 11,13211,13011
1920,7,Marseille 11,13211,13011
1921,1,Marseille 11,13211,13011
1925,3,Marseille 11,13211,13011
1926,1,Marseille 11,13211,13011
1927,1,Marseille 11,13211,13011
1929,1,Marseille 11,13211,13011
1930,2,Marseille 11,13211,13011
1933,1,Marseille 11,13211,13011
1934,2,Marseille 11,13211,13011
1935,2,Marseille 11,13211,13011
1936,1,Marseille 11,13211,13011
1940,3,Marseille 11,13211,13011
1945,12,Marseille 11,13211,13011
1947,135,Marseille 11,13211,13011
1948,220,Marseille 11,13211,13011
1949,22,Marseille 11,13211,13011
1950,5,Marseille 11,13211,13011
