Type de ménage fiscal,Revenu médian en €,Arrondissement,COG,Code_postal
Ménage avec couple sans enfant,25910,Marseille 11,13211,13011
Ménage avec couple et enfant,24070,Marseille 11,13211,13011
Total,22400,Marseille 11,13211,13011
Ménage comprenant deux familles ou plus autrement appelé ménage complexe,22310,Marseille 11,13211,13011
Homme seul,20630,Marseille 11,13211,13011
Femme seule,19200,Marseille 11,13211,13011
Ménage avec famille monoparentale,16850,Marseille 11,13211,13011
Ménage avec couple sans enfant,29550,Marseille 12,13212,13012
Ménage avec couple et enfant,27570,Marseille 12,13212,13012
Ménage comprenant deux familles ou plus autrement appelé ménage complexe,26050,Marseille 12,13212,13012
Total,25680,Marseille 12,13212,13012
Homme seul,23250,Marseille 12,13212,13012
Femme seule,21970,Marseille 12,13212,13012
Ménage avec famille monoparentale,19460,Marseille 12,13212,13012
