Nombre d'enfants,2011,%,2016,%,2022,%,Arrondissement,COG,Code_postal
Ensemble,17025,100,17271,100,18312,100,Marseille 12,13212,13012
Aucun enfant,8107,"47,6",8527,"49,4",8772,"47,9",Marseille 12,13212,13012
1 enfant,4320,"25,4",4180,"24,2",4785,"26,1",Marseille 12,13212,13012
2 enfants,3497,"20,5",3429,"19,9",3668,20,Marseille 12,13212,13012
3 enfants,907,"5,3",917,"5,3",817,"4,5",Marseille 12,13212,13012
4 enfants ou plus,193,"1,1",220,"1,3",271,"1,5",Marseille 12,13212,13012
Ensemble,15509,100,15866,100,16472,100,Marseille 11,13211,13011
Aucun enfant,6481,"41,8",6953,"43,8",7122,"43,2",Marseille 11,13211,13011
1 enfant,3810,"24,6",3763,"23,7",4104,"24,9",Marseille 11,13211,13011
2 enfants,3494,"22,5",3416,"21,5",3462,21,Marseille 11,13211,13011
3 enfants,1226,"7,9",1201,"7,6",1277,"7,8",Marseille 11,13211,13011
4 enfants ou plus,498,"3,2",533,"3,4",507,"3,1",Marseille 11,13211,13011
