Groupe socioprofessionnel,2011,%,2016,%,2022,%,Arrondissement,COG,Code_postal
Ensemble,49991,100,50971,100,53698,100,Marseille 12,13212,13012
Agriculteurs exploitants,25,"0,1",21,0,19,0,Marseille 12,13212,13012
"Artisans, commerçants, chefs d'entreprise",1817,"3,6",1946,"3,8",2062,"3,8",Marseille 12,13212,13012
Cadres et professions intellectuelles supérieures,4962,"9,9",5273,"10,3",7178,"13,4",Marseille 12,13212,13012
Professions intermédiaires,8439,"16,9",8341,"16,4",9024,"16,8",Marseille 12,13212,13012
Employés,7982,16,7882,"15,5",8190,"15,3",Marseille 12,13212,13012
Ouvriers,3459,"6,9",3458,"6,8",3337,"6,2",Marseille 12,13212,13012
Retraités,15066,"30,1",15645,"30,7",15893,"29,6",Marseille 12,13212,13012
Autres personnes sans activité professionnelle,8242,"16,5",8405,"16,5",7994,"14,9",Marseille 12,13212,13012
Ensemble,46113,100,46867,100,47941,100,Marseille 11,13211,13011
Agriculteurs exploitants,19,0,3,0,8,0,Marseille 11,13211,13011
"Artisans, commerçants, chefs d'entreprise",1389,3,1406,3,1789,"3,7",Marseille 11,13211,13011
Cadres et professions intellectuelles supérieures,3081,"6,7",3455,"7,4",3811,"7,9",Marseille 11,13211,13011
Professions intermédiaires,6184,"13,4",6714,"14,3",7104,"14,8",Marseille 11,13211,13011
Employés,9433,"20,5",8717,"18,6",8432,"17,6",Marseille 11,13211,13011
Ouvriers,5265,"11,4",4368,"9,3",4416,"9,2",Marseille 11,13211,13011
Retraités,10545,"22,9",11372,"24,3",12082,"25,2",Marseille 11,13211,13011
Autres personnes sans activité professionnelle,10198,"22,1",10832,"23,1",10300,"21,5",Marseille 11,13211,13011
