Transport_utilise,%,Arrondissement,COG,Code_postal
Pas de déplacement,"2,8",Marseille 12,13212,13012
"Marche à pied (ou rollers, patinette)","3,2",Marseille 12,13212,13012
Vélo (y compris à assistance électrique),"1,1",Marseille 12,13212,13012
Deux-roues motorisé,"6,2",Marseille 12,13212,13012
"Voiture, camion ou fourgonnette","67,2",Marseille 12,13212,13012
Transports en commun,"19,6",Marseille 12,13212,13012
Pas de déplacement,"2,8",Marseille 11,13211,13011
"Marche à pied (ou rollers, patinette)","2,8",Marseille 11,13211,13011
Vélo (y compris à assistance électrique),"0,9",Marseille 11,13211,13011
Deux-roues motorisé,"5,1",Marseille 11,13211,13011
"Voiture, camion ou fourgonnette",72,Marseille 11,13211,13011
Transports en commun,"16,4",Marseille 11,13211,13011
