Équipement,Type,Geo Point,Geo Shape,Arrondissement,COG,Code_postal
INFIRMIER,Santé,"43.308161737795366, 5.436815316325948","{""coordinates"": [5.436815316325948, 43.308161737795366], ""type"": ""Point""}",Marseille 12,13212,13012
AGENCE IMMOBILIÈRE,Services aux particuliers,"43.308508971689186, 5.436643035780123","{""coordinates"": [5.436643035780123, 43.308508971689186], ""type"": ""Point""}",Marseille 12,13212,13012
AGENCE IMMOBILIÈRE,Services aux particuliers,"43.304145178976725, 5.410802425342351","{""coordinates"": [5.410802425342351, 43.304145178976725], ""type"": ""Point""}",Marseille 12,13212,13012
RESTAURANT- RESTAURATION RAPIDE,Services aux particuliers,"43.306686948197815, 5.438318106963818","{""coordinates"": [5.438318106963818, 43.306686948197815], ""type"": ""Point""}",Marseille 12,13212,13012
BOULANGERIE,Commerces,"43.30321623449816, 5.450910384660948","{""coordinates"": [5.450910384660948, 43.30321623449816], ""type"": ""Point""}",Marseille 12,13212,13012
INSTITUT DE BEAUTÉ-ONGLERIE,Services aux particuliers,"43.3140034733235, 5.418894289694302","{""coordinates"": [5.418894289694302, 43.3140034733235], ""type"": ""Point""}",Marseille 12,13212,13012
PLOMBIER COUVREUR CHAUFFAGISTE,Services aux particuliers,"43.31834871552634, 5.445392523589473","{""coordinates"": [5.445392523589473, 43.31834871552634], ""type"": ""Point""}",Marseille 12,13212,13012
MASSEUR KINÉSITHÉRAPEUTE,Santé,"43.304588938441135, 5.451730952239434","{""coordinates"": [5.451730952239434, 43.304588938441135], ""type"": ""Point""}",Marseille 12,13212,13012
AGENCE IMMOBILIÈRE,Services aux particuliers,"43.31312101953446, 5.466605732832091","{""coordinates"": [5.466605732832091, 43.31312101953446], ""type"": ""Point""}",Marseille 12,13212,13012
"LIBRAIRIE,PAPETERIE,JOURNAUX",Commerces,"43.31413609447696, 5.413742060821986","{""coordinates"": [5.413742060821986, 43.31413609447696], ""type"": ""Point""}",Marseille 12,13212,13012
INFIRMIER,Santé,"43.320950127207, 5.43210907933503","{""coordinates"": [5.43210907933503, 43.320950127207], ""type"": ""Point""}",Marseille 12,13212,13012
ENTREPRISE GÉNÉRALE DU BÂTIMENT,Services aux particuliers,"43.30977156715823, 5.448298372654753","{""coordinates"": [5.448298372654753, 43.30977156715823], ""type"": ""Point""}",Marseille 12,13212,13012
PLOMBIER COUVREUR CHAUFFAGISTE,Services aux particuliers,"43.30371390768744, 5.419711265738339","{""coordinates"": [5.419711265738339, 43.30371390768744], ""type"": ""Point""}",Marseille 12,13212,13012
